source;page;type;content
CBE Law No. 194 of 2020.pdf;85;PDF;٨٥ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ فإذا تبين للمحكمة تعذر إعادةالحسال إلى ماكان عليه فى ضوء عدد أو قيمة أو تعقد العمليات الناشئة عن القرار المطعون فيه أوكسان يترتب على إلغسائه ضرر جسيم بالنظام المالى والمصرفى فى الدولة أو حقوق المودعين فى البنك الخاضع للتسوية جازلها الحكم بالتعويض النقدى مادة ( ١٦٩ ) ينشأ بقرارمن مجلس الإدارة صندوق لتمويل إجراءات تسوية أوضاع البنوك المتعثرة ويتبع البنك المركزى . وتكون له شخصية اعتبارية وميزانية مستقلة ويضم الصندوق فى عضويته جميع البنوك ويكون له مجلس إدارة يصدر بتشكيله قرارمن مجلس الإدارة ويكون مقره محافظة القاهرة ويمثل الصندوق رئيس مجلس إدارته _ أمام القضا والغير وتتكون موارد الصندوق من مساهمات البنوك وعائد استثمار أمواله وغيرها من مصادر التمويل ويكون المستهدف تكوينه كحصيلة للصندوق مبلغ يقابل نسبة نصف فى المائة من قيمة ودائع البنوك على أن يتم تكوين كامل المبلغ المستهدف خلال عشر سنوات من تاريخ العمل بأحكام , هذا القانون وذلك كله طبقًا للضوابط والإجراءات التى يحددها مجلس الإدارة ويحدد مجلس الإدارة قواعد تحصيل المساهمات السنوية للبنوك لحين الوصول للمبلغ المستهدف بمراعاة الآتى ( أ) حصة كل بنك فى إجمالى ودائع الجهاز المصرفى ابا حجم مخاطركل بنك اجا قوة وسلامة المركز المالى للبنك اد ) مدى احتمالية اتخاذ أى من إجراءات التسوية فى شأن كل بنك اها درجة تعقد هيكل المساهمات بين البنك وشركاته التابعة او ) مدى تأثير البنك فى النظام المصرفى ازا نسبة إجمالى الالتزامات لدى كل بنك إلى إجمالى الالتزامات بالجهاز المصرفى
CBE Law No. 194 of 2020.pdf;86;PDF;٨٦ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ ويحظر استخدام موارد الصندوق فى تمويل إجراءات تسوية أى من البنوك المتعثرة إلابعدتحمل الساهمين . وحساملى أدوات الدين الداخلة فى القاعدة الرأسمالية والدائنين طبقًا للضوابط المقررة فى المادة (١٦٣) من هذا القانون بقيمة الخسائر وفى حالة عدم كفاية موارد الصندوق لتغطية التمويل اللازم لإتمام عملية التسوية يجوز للبنك الركزى طلب مساهمات إضافية من البنوك لا يتجاوز قيمتها مبلغ المساهمة السنوى لكل بنك وعلى أن يتم تسويتها لاحقًا ويصدر بالنظام الأساسى للصندوق قرارمن مجلس الإدارة ويرحل فائض أموال الصندوق من سنة مالية لأخرى مادة (١٧٠ ) فى حالة عدم كفاية موارد الصندوق الأصلية والإضافية المشار إليها فى المادة (١٦٩) من هذا القانون لتحمل تكلفة التسوية يجوز لوزارة المالية بالتنسيق مع البنك المركزي أن تقدم تمويلاً مؤقتًا للصندوق لاستكمال عملية التسوية إذاكان ذلك ضروريًا للحفاظ على استقرار النظام امالى والمصرفى فى مصر ويقدم التمويل المؤقت فى صورة زيادة أو مشاركة فى رأسمال البنك المعبرى أو _ أدوات دين أو تقديم ضمانات للبنك الخاضع لعملية التسوية أو أى نوع من أنواع الدعم المطلوبة لتنفيذ إجراءات التسوية المنصوص عليها فى هذا الفصل بعد التأكد من أن البنك القدم له التمويل المؤقت ستتم إدارته بطريقة تجارية ومهنية ويعد البنك المركزى بالاتفاق مع وزارة المالية القواعد الخاصة بتقديم ذلك التمويل المؤقت واسترداده حال عدم كفاية موارد الصندوق وذلك بتحديد آلية الرجوع على البنوك طبقًا للضوابط المنصوص عليها فى الفقرة الثالثة من المادة (١٦٩) من هذا القانون على أن تتناول تلك القواعد اساس حساب المبالغ المطلوب استردادها
CBE Law No. 194 of 2020.pdf;87;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة ( ١٧١ ) : تلتزم إدارة الإفلاس بالحكمة الاقتصادية المختصة بنظر الدعاوى المتعلقة بإعادة الهيكلة أوالصلح الواقى من الإفلاس أوشهر إفلاس إحدى الشركات التابعة أوالشقيقة أو الشركة الأم لأى من البنوك بأن تخطر البنك المركزى بذلك - ليقدم تقريرً برأيه فى _ الدعوى خلال ثلاثين يومًا من تاريخ إخطاره ( الفصل الثالث عشر إلغاء تراخيص البنوك مادة ( ١٧٢ ) : لا يجوز لأى بنك وقف عملياته جزئيًا أوكليًا إلا بموافقة مسبقة من مجلس الإدارة وتصدر الوافقة فى حالات الوقف الكلى بعد التثبت من أن البنك قد قدم ضمانات كافية أو أبرأ ذمت نهائيًا من التزاماته القانونية وعلى الأخص التزاماته قبل أصحاب الودائع وغيرهم من الدائنين وحقوق العاملين وذلك كله طبقًا للشروط والإجراءات التى يصدربها قرارمن مجلس الإدارة وينشر القرار الصادر فى هذا الشأن فى الوقائع المصرية وعلى الموقع الإلكترونى لكل من البنك المركزى والبنك العنى مسادة ( ١٧٣ ) يجوز إلغا ترخيص البنك وشطب تسجيله بقرارمن مجلس الإدارة فى الأحوال الآتية ( أ) إذا ارتكب مخالفةجسيمة أومتكررة لأحكام هذا القسانون أو القرارات الصادرة تنفيذً له ولم يقم بإزالة المخالفة خلال المدة وبالشروط _ التى يحددها مجلس الإدارة اب) إذا اتبع سياسة من شأنها الإضرار بالمصلحة الاقتصادية العامة أو بالسياسة النقدية أوبالنظام المصرفى أو بمصالح المودعين اجا إذا توقف عن مزاولة نشاطه أو _ تقدم ' بطلب لإيقاف نشاطه وتصفيته اختياريًا
CBE Law No. 194 of 2020.pdf;88;PDF;٨٨ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ ادا إذا تحققت أىمن حالات اعتبارالبنك متعثرأ طبقًا للمادة ١٥٣١) من هذا القانون وارتأى البنك المركزى عدم ملائمة تسوية أوضاع البنك المتعثر وقرر تصفيته اها إذا تبين أن الترخيص له تم بناء على بيانات خاطئة قدمها إلى البنك المركزى ( إذا فقد شرطًا من شروط الترخيص ازا إذا حدث تغيير جوهرى فى البيانات التى منح الترخيص بناءً عليها كما يجوز لمجلس الإدارة إلغا ترخيص البنك اخاضع للتسوية وشطب تسجيله وذلك فى الأحوال الآتية ( أا عدم قابلية البنك للإصلاح أو لإعادة الهيكلة اب) نقل أصول البنك أوالتزاماته جزئيًا أوكليًا إلى بنك آخر أو للبنك المعبرى ولا يصدر قرار الإلغا والشطب إلا بعد إعلان البنك المعنى ليقدم أوجه دفاعه كتابة خلال خمسة عشر يومًا من تاريخ الإعلان وبنشر قرار إلغاء الترخيص والشطب فى الوقائع المصرية خلال عشرة أيام من تاريخ صدوره وعلى الموقع الإلكترونى لكل من البنك المركزى والبنك المعنى طوال فترة التصفية مادة ( ١٧٤ ) مع عدم الإخلال بمصالح المتعاملين مع البنك يترتب على إلغا الترخيص وقف البنك عن مباشرة العمل وتصفيته وفى هذه الحالة لمجلس الإدارة إما أن يقرر تصفية أعمال البنك فورً أو أن يرخص له مؤقتًا بمباشرة العمليات القائمة وقت الشطب بالشروط التى يحددها لذلك مادة (١٧٥ دون التقيد بأحكام أى قوانين أخرى تون أولوية استيفاء الدائنين لديونهم من البنك الخاضع للتصفية فى حالة عدم كفاية أصوله لتغطية التزاماته وعقب تسوية وسداد الديون المضمونة برهون أوالمقيدة بسجل الضمانات المنقولة أوبتسليم الدائنين للضمانات المرهونة طبقًا للترتيب الآتى ( أ) مصروفات المصفى والمفوض اب) ودائع العملا باستثنا ودائع الأطراف الرتبطة بالبنك الخاضع للتصفية
CBE Law No. 194 of 2020.pdf;89;PDF;٨٩ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ اجا الأجور المستحقة للعاملين بالبنك الخاضع للتصفية خلال الستة أشهر السابقة على تعيين المصفى اد) مستحقات الحكومة جراء تمويل عمليات التسوية أو التمويل الذى يقدمه البنك المركزى نيابة عن الحكومة اها مستحقات الضرائب والتأمينات للعامين السابقين على تعيين المصفى ( مستحقات صندوق تمويل إجراءات تسوية أوضاع البنوك المتعثرة ازا الديون الممنوحة للبنك من القطاع الخاص بعد إعلان تسوية أوضاعه أو تعيين مصف (ح ) الديون غير المضمونة على أن يعامل الدائنون من ذات المرتبة ذات المعاملة ولا يحق لدائنى المرتبة الأدنى المطالبة بمستحقاتهم إلا عقب تسوية مديونية المرتبة الأعلى ( الفصل الرابع عشر صندوقا التأمين على الودائع وتطوير الجهاز المصرفى مادة ( ١٧٦ ) يتبع صندوق التأمين على الودائع البنك المركزى وتكون له شخصية اعتبارية وميزانية مستقلة ويضم الصندوق فى عضويته جميع البنوك ويكون له مجلس إدارة برئاسة المحافظ ويكون مقره محافظة القاهرة ويمثل الصندوق رئيس مجلس إدارته أمام القضا والغير ويصدر بالنظام الأ أساسى للصندوق قرارمن مجلس الإدارة بناء على اقتراح المحافظ ويجب أن يتضمن النظام الأساسى على الأخص ما يأتى ( أ) وسائل تحقيق أغراض الصندوق وتنظيم العلاقة بينه وبين البنوك اب) تشكيل مجلس إدارة الصندوق ونظا العمل به ( جا تحديد اشتراك العضوية والاشتراكات السنوية للبنوك ادا نطاق ضمان الودائع وتحديد الحد _ الأقصى للضمان اها الموارد المالية للصندوق وقواعد وأوجه الصرف منها ( نظام مراجعة حسابات الصندوق ويرحل فائض أموال الصندوق من سنة لأخرى
CBE Law No. 194 of 2020.pdf;90;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة ( ١٧٧ ) : لمجلس الإدارة بناءً على اقتراح مجلس إدارة صندوق التسأمين على الودائع اتخاذ أىمن الإجسراءات الآتية فى حالة مخسالفة أى بنك لأحكام النظام الأساسى للصندوق أو القرارات الصادرة تنفيذا له ( أ) توجيه تنبيه ابا إلزام البنك بسداد مبلغ لا يجاوز ٠٥١) من قيمة آخراشتراك سنوى للبنك يزاد إلى ٠١٠١) فى حالة تكرار المخالفة وتضاف حصيلة همذه المبالغ إلى موارد الصندوق مادة (١٧٨ ) ينشأ صندوق لدعم وتطوير الجهاز المصرفى تكون له شخصية اعتبارية وميزانية مستقلة ويتبع البنك المركزى . ويكون مقره محافظة القاهرة ويضم فى عضويته جميع البنوك ويختص بالعمل على تطوير الجهاز المصرفى وتعزيز بنيته التحتية بهدف مسايرة التطور العالى وترسيخ قواعد العمل المهنى _ السليم ويتكون مجلس إدارة الصندوق من أحد عشر عضوا برئاسة المحافظ وعضوية نائبى المحافظ وخمسة أعضا من بين رؤسا مجالس إدارات البنوك تنتخبهم البنوك وثلاثة أعضا مستقلين من ذوى الخبرة يختارهم مجلس الإدارة ويمثله رئيس مجلس إدارته أمام القضا والغير ويراجع حسابات الصندوق اثنان من مراقبى الحسابات المقيدين فى سجل مراقبى الحسابات لدى البنك المركزى وتتكون موارد هذا الصندوق من ( أ) مبلغ يعادل نسبة لا تزيد على ٠١١) من صافى الأرباح السنوية القابلة للتوزيع عن العام المالى السابق لكل بنك من البنوك اب) الهبات والتبرعات والمعونات التى يوافق مجلس إدارة الصندوق على قبولها لهذا الغرض ويصدر بالنظام الأساسى للصندوق قرارمن مجلس الإدارة ويرحل فائض أمواله من سنة لأخرى
CBE Law No. 194 of 2020.pdf;91;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ ( الفصل الخامس عشر اتحاد البنوك والمعهد المصرفى مادة ( ١٧٩ يعمل اتحاد البنوك على ترسيخ مفاهيم _ العمل المصرفى السليم , وتوثيق أواصر التعاون بين البنوك وتكون له شخصية اعتبارية وميزانية مستقلة ويمثله رئيس مجلس إدارته أمام القضاء والغير ٠ ويصدر بنظامه الأساسى قرار من مجلس الإدارة يتضمن على الأخص ( أ) تشكيل مجلس إدارة الاتحاد ونظام العمل به اب) تحديد اشتراك العضوية والاشتراكات السنوية للبنوك اجا الموارد المالية للاتحاد اد ) نظام مراجعة حسابات الاتحاد وعلى كل بنك أوفرع بنك أجنبى مسجل لدى البنك المركزي الانضمام إلى الاتحاد ويلتزم بمراعاة نظامه وبالمعايير التى يحددها ولا تسرى المعسايير والقواعد الهنيسة _ التى يضعها الاتحاد إلا بعد اعتمادها من مجلس الإدارة ويعين المحافظ ممثلاً لدى الاتحاد يكون له الحق فى حضور جلساته والاشتراك فى مناقشاته دون أن يكون له صوت معدود فى المداولات وينشر النظام الأساسى وأى تعديل يطرأعليهبعد موافقة مجلس الإدارة فى الوقائع المصرية على نفقة الاتحاد وعلى الموقع الإلكترونى له مادة (١٨٠ ) يتبع المعهد المصرفى البنك المركزى وتكون له شخصية اعتبارية وموازنة مستقلة وتصدر له قوائم مالية سنوية وتبدأ السنة المالية للمعهد فى بداية السنة المالية للدولة وتنتهى بنهايتها ويرحل الفائض أو العجز إلى ميزانية العام التالى . ويكون مقره الرئيسى بمحافظة القاهرة ويجوز له إنشاء فروع خارجها
CBE Law No. 194 of 2020.pdf;92;PDF;٩٢ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢ ويعمل المعهد على تنمية المهارات فى الأعمال المصرفية والمالية والنقدية والقانونية ونظم وخدمات الدفع وتكنولوجيا وأمن المعلومات ومكافحة غسل الأموال وتمويل الإرهاب وذلك للعاملين بالبنك المركزى والبنوك والجهات العاملة فى هذه الجالات بهدف مسايرة التطور العالى وترسيخ قواعد العمل المهنى السليم ويجوز للمعهد الاستعانة بالخبرات العالية فى دعم قدراته كما يجوز له إيفاد بعثات للخارج للتعرف على المستحدثات فى مجال أعماله ويصدر بالنظام الأساسى للمعهد قرار من مجلس الإدارة مسادة ( ١٨١ ) يكون للمعهد المصرفى مجلس إدارة لا يزيد عدد أعضائه على تسعة وتكون مدة المجلس أربع ' سنوات قسابلة للتجديد ويصدر بتشكيله قرارمن مجلس الإدارة ويمثل العهد رئيس مجلس إدارته أمام القضاء وفى صلاته بالغير ويكون للمعهد مدير تنفيذى يتم اختياره من ذوى الخسبرة ويصدر بتعيينه قرار من مجلس إدارة المعهد مسادة (١٨٢ ) يضع مجلس إدارة المعهد المصرفى سياسته العامة ويتابع تنفيذها وله على الأخص ما يأتى ( أا إصدار اللائحة المالية ولائحة تنظيم التعاقدات ولائحة شئون العاملين وأى لوائح أخرى تنظم عمل المعهد وكيفية إدارته وذلك دون التقيد بالقوانين واللوائح المعمول بها فى الجهاز الإدارى للدولة أو الهيئات العامة اب ) إنشا فروع للمعهد خارج محافظة القاهرة اجا توثيق العلاقات والروابط بين المعهد وغيره من المعاهد والمراكز المناظرة له فى الداخل والخارج اد ) اعتماد برامج التدريب السنوية للمعهد وتقارير متابعة تنفيذها
CBE Law No. 194 of 2020.pdf;93;PDF;"٩٣ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ اها وضع قواعد اختيار هيئة التدريب والمحاضرين ( وضع قواعد المعاملة المالية للمدربين والفنيين والباحثين به ازا اعتماد الموازنة التقديرية والقوائم المالية والتقارير عن مركزه امالى ونتائج أعماله وإخطار مجلس الإدارة بنسخ منها مسادة (١٨٣ ) تتكون موارد المعهد المصرفى من ( أ) الاعتمادات التى يخصصها له البنك المركزي اب) الإعانات التى ترد إلى المعهد من الجهات المختلفة ويقرر مجلس الإدارة قبولها اجا الاشتراكات والمساهمات السنوية التى تؤديها البنوك والجهات المختلفة مقابل تدريب العاملين بها ويصدر بتحديدها قرارمن مجلس الإدارة بناءً على اقتراح مجلس إدارة المعهد اد ) مقابل الخدمات التى يؤديها المعهد للغير ويعتمدها مجلس الإدارة الباب الرابع نظم وخدمات الدفع والتكنولوجيا المالية ( الفصل الا'ول نظم وخدمات الدفع مادة (١٨٤ ) يحظر على أىشخص طبيعى أواعتبارى غير مرخص له طبقًا لأحكام هذا الفصل مزاولة أى نشاط يتضمن تشغيل نظم الدفع أو تقديم خدمات - الدفع سواء كان ذلك من داخل جمهورية مصر العربية أومن خارجها للمقيمين فيها ويشمل ذلك الجهات المنشأة بموجب قوانين خاصة ويحظر على أى منشأة غير مسجلة طبقًا لأحكام هذا الفصلأن تستعمل كلمة ""مشغل نظم دفع "" أو ""مقدم خدمات دفع "" أوأى تعبير يماثلها فى أى لغة سواء فى تسميتها الخاصة أوفى عنوانها التجارى أوفى دعايتها إذاكان من شأن ذلك أن يثير اللبس لدى الجمهور"
CBE Law No. 194 of 2020.pdf;94;PDF;٩٤ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢ ويجوز للبنك الركزى إنشاء نظم الدفع وتشغيلها دون التقيد بأحكام هذا الفصل وفى تطبيق _ أحكام هذا القانون لا يعدمن نظم الدفع أو خدمات الدفع كل من بورصات الأوراق والأدوات المالية وبورصات العقود الآجلة ونظم تسوية الأوراق والأدوات المالية والشركات الرخص لها بمباشرة عمليات الإيداع والفيد الركزى للأوراق والأدوات المالية وأمناء الحفظ والنظم الداخلية لوزارة المالية التى لا تتضمن سداد أوتحصيل أموال من المتعاملين معها من موظفى الدولة أومن الأشخاص الطبيعية أو الاعتبارية الأخرى وما يترتب عليها من مقاصة أو تسوية أموال مادة (١٨٥ ) يصدر بتحديد شروط وإجراءات منح تراخيص تشغيل نظم الدفع أو تقديم خدمات الدفع قرارمن مجلس الإدارة يتضمن على الأخص الحل الأدنى لرأس امال و الشكل القانونى ومتطلبات الكفاءة الفنية والملاءة المالية وحسن السمعة لطالب الترخيص والإفصاح عن هيكل اللكية والتكنولوجيا الستخدمة ومقاييس جودة تقديم اخدمة والقواعد اللازمة للتشغيل ورسوم فحص طلب الترخيص بما لا يجاوز خمسمائة ألف جنيه لمشغل نظام الدفع . ومائة ألف جنيه لقدم خدمات الدفع ويتم البت فى طلب الترخيص خلال تسعين يومًا من تاريخ تقديه مستوفيًا الستندات المطلوبة ويجوز لمجلس الإدارة مد هذه المهلة لمدة أخرى مماثلة وينشر القرار الصادر من مجلس الإدارة بقبول طلب الترخيص على الموقع الإلكترونى للبنك المركزى على أن يتضمن الأنشطة والخدمات التى يجوز مزاولتها وما إذا كان محلدد المدة أو مشروطاًا ويرفض طلب الترخيص بقرارمن مجلس الإدارة ويخطر به الطالب خلال ثلاثين يومًا من تاريخ صدوره ويتم تسجيل مشغلى نظم الدفع ومقدمى خدمات الدفع المرخص لهم فى سجل خاص يعد لهذا الغرض بالبنك المركزى وذلك بعد أداء رسم معاينة لا يزيد على خمسمائة ألف جنيه بالنسبة لشغلى نظم الدفع ومائتى ألف جنيه بالنسبة لمقدمى خدمات الدفع
CBE Law No. 194 of 2020.pdf;95;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة (١٨٦ ) يضع مجلس الإدارة قواعد للرقابة والإشراف على كل من مشغلى نظم الدفع 9 مقدمى خدمات الدفع . وله فرض معايير أوضوابط أوقواعد محددة على أى مشغل نظام دف آو _ مقدم خدمة دفع حال توافر ظروف تستدعى ذلك وتشمل على الأخص ( أ) قواعد التشغيل البينى بين نظم الدفع اب) شروط ومواصفات الهيكل التنظيمى وإجراءات ا لحوكمة وإدارة المخاطر اجا متطلبات الرقابة المكتبية والتفتيش الميدانى (د ) آلية إصدار معايير أدا . ع الخدمة ومؤشرات الأدا . الرئيسية ونشرها (ه ) قواعد تقديم خدمات الدفع ( ضوابط التعاقد مع شركات التعهيد ونطاق الخدمات التى تقدمها وآلية اعتمادها من البنك المركزي . ورقابته عليها ازا قواعد ضمان وحماية أموال العملا اح) قواعد وشروط أوامر الدفع اط) قواعد الإفصاح والشفافية (ى ) قواعد تحديد أسعار الخدمات مادة (١٨٧ ) للبنك المركزى إلزام مشغل نظام الدفع بإنشاء صندوق لضمان المخاطر التشغيلية المرتبطة به والمخاطر التجارية الناشئة عن إخلال أى من مشاركيه بالتزاماتهم بمراعاة أهميته النظامية وحجم أعماله وذلك طبقا للقواعد والشروط والإجراءات التى يصدر بتحديدها قرارمن مجلس الإدارة يتضمن على الأخص تحسديد قواعد مساهمة الشاركين فيه والصرف منه
CBE Law No. 194 of 2020.pdf;96;PDF;٩٦ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة (١٨٨ ) يلتزم مشغل نظام الدفع أو مقدم خدمات الدفع بأداء ضمان مالى لتنفيذ شروط الترخيص والوفاء بالالتزامات المنصوص عليها فى هذا القانون وذلك طبقأًا للقواعد التى يصدر بتحديدها قرارمن مجلس الإدارة يتضمن على الأخص قواعد تحديد قيمة هذا الضمان ونوعه وقواعد الخصم منه مادة ( ١٨٩ ) يجوز لمقدمى خدمات الدفع الاستعانة بوكلاء عنهم فى ممارسة الأنشطة المرخص لهم بها وذلك طبقًا للضوابط والشروط والإجراءات التى يحددها مجلس الإدارة ويتم تسجيل الوكلاء فى سجل خاص بالبنك المركزى وذلك دون الإخلال بحق البنك المركزى فى رفض تسجيلهم أوشطبهم إذا ارتأى ضرورة لذلك ويظل مقدم خدمات الدفع مسنولاً فى جميع الأحوال عن الأعمال التى يمارسها الوكيل نيابة عنه وعليه أن يتحقق من التزام الوكيل بجميع القوانين والقرارات المنظمة لممارسة النشاط مادة (١٩٠ ) : يعتمد مجلس الإدارة القواعد الرئيسية لتشغيل نظم الدفسع وتشمل على الأخص ما يأتى ( أ) قواعد إصدار أوامر التحويل وتحديد اللحظة التى لا يجوز بعدها للمشارك العدول عن تنفيذها اب) لحظة تسوية أوامر التحويل وآلية إتمام التسوية سواء تمت التسوية مباشرة أوعن طريق مقاصة ثنائية أو متعددة الأطراف (جا أسس استخدام الأوراق أو الأدوات امالية كضمانة وطرق استخدامها للوفا بمستحقات المشاركين بالنظا
CBE Law No. 194 of 2020.pdf;97;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ اد ) الإجراءات التى يمكن أن يتخذها فى حالة عدم قدرة أحد المشاركين فى النظام على الوفاء بالتزاماته اها لحظة نهائية التسوية والتى لا يجوز بعدها الرجوع فيها وللبنك المركزى إلزام مشغل نظام الدفع بإجراء أى تعديل على تلك القواعد كلما ارتأى ذلك وتكون لأوامر التحويل _ التى تتم طبقًا لقواعد تشغيل نظم الدفع جميع الآثار القانونية وتكون نهائية وملزمة لأطرافها وواجبة النفاذ مادة ( ١٩١ ) : يحدد مجلس الإدارة اللحظة التى يتم فيها تسوية أمر الدفع والتى لا يجوز بعدها العدول عن تنفيذه وذلك بالنسبة لحسابات الدفع المفتوحة لكل من الدافع والمستفيد لدى ذات البنك أو مقدم خدمات الدفع مادة (١٩٢ ) لمجلس الإدارة إصدار قرار بتصنيف أى نظام دفع بأنه ذو أهمية نظامية سواء من تلقا ذاته أوبناء على طلب من مشغل نظام الدفع . وذلك فى ضو - الغرض منه ونطاق أعماله وقيمة معاملاته وعدد المشاركين فيه وتأثيره على استقرار النظام المالى فى الدولة ومدى قابليته لمتطلبات هذا التصنيف ويتضمن هذا القرار الواجبات الإضافية التى يتعين على مشغل نظام الدفع الالتزام بها وتحديد الفترة التى يتعين عليه توفيق أوضاعه خلالها ودون التقيد بأحكام أى قانون آخر تبقى سارية جميع القيود والتحويلات والمدفوعات التى تمت وأصبحت نهائية طبقًا للقواعد المعتمدة من مجلس الإدارة لنظام الدفع ذى الأهمية النظامية ولا يجوز الساس بها سواءعن طريق وقفها أو إبطالها أوالحجز عليها
CBE Law No. 194 of 2020.pdf;98;PDF;٩٨ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ومع عدم الإخلال بنهائية العملية يجوز استرداد المبالغ المحولة فى حالة ثبوت تحويلها بناءً على غش أو تدليس أونتيجة لخطأأوإهمال من مشغل نظام الدفع ذى الأهمية النظامية أو أحد مشاركيه وذلك كله طبقًا للقواعد والإجراءات التى يحددها مجلس الإدارة مادة (١٩٣ ) : فى حالة تعرض أحد مشغلى نظم الدفع ذوى الأهمية النظامية أوأحد مشاركيه لإجراءات إنها الأعمال أو تسوية أوضاعه أو الإفلاس سوا تمت هذه الإجراءات داخل آو خارج جمهورية مصر العربية يتعين على المشغل القيام بالآتى ( أ) إخطار البنك المركزى فى اليوم الأول من بدء إجراءات إنهاء أعماله أو تسوية أوضاعه أو إفلاسه اب) إتمام المقاصة والتسوية لأوامر التحويل الصادرة قبل إخطاره ببدء إجراءات إنها الأعمال أوالتسوية أو الإفلاس والتى أصبحت غير قابلة للرجوع فيها طبقًا لقواعد النظام ونافذة فى مواجهة الغير ودون التقيد - بأحكام أى قانون آخر . تكون لمطالبات المشاركين بنظام الدفع ذى الأهمية النظامية أوأى طرف آخر ينوب عنهم من ضمانات أو أوراق أو أدوات مالية أولوية عن أى مطالبات أخرى طبقًا لأولوية ترتيب المشاركين المبينة بقواعد النظا مادة (١٩٤ ) : يلتزم مشغلو نظم الدفع بالسماح للبنوك ومقدمى خدمات الدفع بالمشاركة فى نظم الدفع التى يديرونها على أساس موضوعى دون تمييز بشرط ألا يترتب على ذلك التأثير سلبًا على الاستقرار الالى والتشغيلى للنظام كما تلتزم البنوك بالسماح لمشغلى نظم الدفع _ ومقدمى خدمات الدفع بفتح حساب مصرفى يمكنها من ممارسة أعمالها بفاعلية طبقًا لذات الضوابط المنصوص عليها فى الفقرة الأولى من هذه المادة
CBE Law No. 194 of 2020.pdf;99;PDF;٩٩ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة (١٩٥ ) لمجلس الإدارة حماية للاستقرار المصرفى أولحقوق العملاءأن يصدر قرارا بمنع أو تقييد أو تعديل أو إضافة أو وقف أى من الأنشطة أو العمليات التى يمارسها مشغلو نظم الدفع أو مقدمو خدمات الدفع كما يجوز له اتخاذ جميع الإجراءات اللازمة لتسوية العمليات السابقة على اتخاذ تلك القرارات مادة (١٩٦ ) لمجلس الإدارة حال ثبوت مخالفة أى من مقدمى خدمات الدفع لأحكام هذا القانون أو اللوائح أو القرارات الصادرة تنفيذًا له اتخاذ واحد أو _أكثر من الإجراءات أو الجزاءات التالية بما يتناسب مع طبيعته ( أ) توجيه تنبيه (ب) إلزامه بإزالة المخالفة واتخاذ إجرا ءات تصحيحية خلال مدة محددة اجا تقييد أو تعليق أو منع مقسدمى خسدمات الدفع من ممارسة أى من الأنشطة أوالعمليات المرخص لهم بمزاولتها اد ) توقيع جزاءات مالية على مقدمى خدمات الدفع طبقًا للضوابط المنصوص عليها فى امادة (١٤٥) من هذا القانون اها تنحية واحد أو أكثر من المسئولين الرئيسيين ( إلزامه بتقديم خطة لإعادة الهيكلة ازا حل مجلس إدارته وتعيين مدير مؤقت لإدارته لمدة لا تجاوز ستة أشهر يجوز مدها لمدة مماثلة ويعرض المدير المؤقت قبل انتها مدة تعيينه الأمر على الجمعية العامة لاختيار مجلس إدارة جديد أو اتخاذ ما تراه لازمًا اح إلزامه بزيادة رأسماله اطا إلغاء الترخيص ويجوز للبنك المركزى نشر أى من الإجراءات أو الجزاءات المشار إليها
